term,value,context,context value,level
@topic,Divers,,,
@author,Kazbek Byasov,,,
acne,acné,,,normal
angle,angle,,,normal
anguish,angoisse,,,normal
apron,tablier,,,hard
back of the hand,dos de la main,,,hard
balcony,balcon,,,normal
be sick,être malade,,,simple
between,entre,,,simple
blacksmith,forgeron,,,hard
blister,blister,,,normal
boundary,frontière,,,normal
box,boîte,,,simple
brake,frein,,,normal
brand,marque,,,normal
brick,brique,,,simple
bride,mariée,,,normal
brook,brook,,,normal
broom,balai,,,simple
bucket,seau,,,simple
bud,bourgeon,,,normal
buttock,fesse,,,simple
caftan,caftan,,,hard
candle,bougie,,,simple
captivity,captivité,,,hard
cast iron,chaise,,,normal
chair,chaise,,,simple
cheek,chauve-souris,,,simple
chimney,cheminée,,,normal
circassian,circassien,,,normal
circle,cercle,,,hard
clear,clair,,,simple
cloud,nuage,,,simple
coffee,café,,,simple
cone,cône,,,hard
consent,consentement,,,normal
court,tribunal,,,normal
crane,grue,,,normal
cunning,astucieux,,,normal
cup,coupe,,,normal
dawn,aube,,,simple
dirty weather,temps sale,,,normal
door,porte,,,simple
earth,terre,,,simple
eat,manger,,,normal
faint,faible,,,simple
familiar,familier,,,normal
famous,célèbre,,,normal
finger ring,anneau de doigt,,,normal
fisher,pêcheur,,,normal
flute,flûte,,,hard
forge,faux,,,normal
fraud,fraude,,,normal
fry,friture,,,simple
gems,gemmes,,,normal
glade,glade,,,normal
glue,glue,,,normal
goal,but,,,simple
gravel,gravier,,,normal
greed,cupidité,,,normal
greek,grec,,,normal
groom,groom,,,normal
ground,sol,,,normal
gutter,gouttière,,,normal
hairless,sans poils,,,normal
harbor,port,,,hard
hawser,haussier,,,hard
heap,tas,,,normal
hearth,foyer,,,hard
hearth fence,clôture de l'âtre,,,hard
heavy,lourd,,,hard
hell-fire,feu de l'enfer,,,normal
hematoma,hématome,,,normal
hiccup,hoquet,,,simple
hogweed,berce du Caucase,,,hard
honor,honneur,,,normal
house,maison,,,simple
hug,étreinte,,,simple
husband,mari,,,normal
image,image,,,normal
in turn,à son tour,,,simple
inflate,gonfler,,,simple
jointer,jointer,,,normal
jump,sauter,,,simple
knee,genou,,,simple
kudos,kudos,,,normal
ladle,louche,,,simple
lake,lac,,,simple
lathe,tour,,,normal
lead,plomb,,,hard
lens,objectif,,,normal
lightning,éclair,,,normal
line,ligne,,,simple
lump,moelle,,,simple
marrow,moelle,,,hard
maybe,peut-être,,,simple
message,message,,,simple
mother in law,mère en droit,,,normal
mumbler,bafouilleur,,,simple
muzzle,museau,,,normal
orbit,orbite,,,normal
overhang,surplomb,,,normal
paddle,pagaie,,,simple
pants,pantalon,,,simple
peak,pic,,,normal
pillar,pilier,,,simple
pooch,chien de garde,,,normal
prey,proie,,,normal
puke,vomir,,,simple
pumice,ponce,,,normal
pupil,pupille,,,normal
rag,chiffon,,,simple
rock,roche,,,simple
root,racine,,,simple
rope,corde,,,simple
ruby,rubis,,,normal
rust,rouille,,,normal
sausage,saucisse,,,simple
share,partage,,,normal
sharp,pointu,,,normal
shelf,étagère,,,normal
shine,briller,,,simple
ship,navire,,,simple
shooting range,gamme de tir,,,normal
short,court,,,simple
shoulders ride,épaule rouler,,,normal
shovel,pelle,,,simple
silk,soie,,,normal
sky,ciel,,,simple
sledgehammer,marteau de forgeron,,,simple
slope,pente,,,normal
slumber,sommeil,,,normal
small,petit,,,simple
small axe,petite hache,,,normal
smog,smog,,,normal
smoked,fumé,,,normal
snout,museau,,,normal
spin,tourner,,,simple
spirit,esprit,,,normal
spoon,cuillère,,,simple
spot,spot,,,normal
spring,printemps,,,normal
sprouts,germes,,,normal
stairs,escalier,,,simple
stick,bâton,,,simple
storm,tempête,,,normal
stump,souche,,,simple
table,table,,,normal
tan,tan,,,normal
teapot,théière,,,simple
temptation,tentation,,,hard
thumb,pouce,,,simple
toilet,toilettes,,,simple
torch,torche,,,simple
tremble,trembler,,,normal
volume,volume,,,normal
waiting,attente,,,normal
washer,laveuse,,,simple
wattle,hochet,,,normal
wave,vague,,,simple
wedge,coin,,,normal
wide,large,,,simple
win,gagner,,,simple
wooden bed,lit en bois,,,normal
wrong,faux,,,normal
yawn,bâiller,,,simple
