term,value,context,context value,level
@topic,Numbers,,,
@author,Kazbek Byasov,,,
eight,ocho,,,simple
eight thousand,ocho mil,,,normal
eight thousand two hundred and twenty,ocho mil doscientos veinte,,,hard
eighteen,dieciocho,,,normal
eighteen thousand six hundred and thirty-four,dieciocho mil seiscientos treinta y cuatro,,,hard
eighty,ochenta,,,normal
eighty-eight,ochenta y ocho,,,normal
eighty-five,ochenta y cinco,,,normal
eighty-four,ochenta y cuatro,,,normal
eighty-nine,ochenta y nueve,,,normal
eighty-one,ochenta y uno,,,normal
eighty-seven,ochenta y siete,,,normal
eighty-six,ochenta y seis,,,normal
eighty-three,ochenta y tres,,,normal
eighty-two,ochenta y dos,,,normal
eleven,once,,,normal
eleven thousand two hundred and thirty-four,once mil doscientos treinta y cuatro,,,hard
fifteen,quince,,,normal
fifty,cincuenta,,,normal
fifty-eight,cincuenta y ocho,,,normal
fifty-five,cincuenta y cinco,,,normal
fifty-four,cincuenta y cuatro,,,normal
fifty-nine,cincuenta y nueve,,,normal
fifty-one,cincuenta y uno,,,normal
fifty-seven,cincuenta y siete,,,normal
fifty-six,cincuenta y seis,,,normal
fifty-three,cincuenta y tres,,,normal
fifty-two,cincuenta y dos,,,normal
five,cinco,,,simple
five thousand,cinco mil,,,normal
forty,cuarenta,,,normal
forty-eight,cuarenta y ocho,,,normal
forty-five,cuarenta y cinco,,,normal
forty-four,cuarenta y cuatro,,,normal
forty-nine,cuarenta y nueve,,,normal
forty-one,cuarenta y uno,,,normal
forty-seven,cuarenta y siete,,,normal
forty-six,cuarenta y seis,,,normal
forty-three,cuarenta y tres,,,normal
forty-two,cuarenta y dos,,,normal
four,cuatro,,,simple
four thousand,cuatro mil,,,normal
fourteen,catorce,,,normal
nine,nueve,,,simple
nine thousand,nueve mil,,,normal
nineteen,diecinueve,,,normal
ninety,noventa,,,normal
ninety-eight,noventa y ocho,,,normal
ninety-five,noventa y cinco,,,normal
ninety-four,noventa y cuatro,,,normal
ninety-nine,noventa y nueve,,,normal
ninety-one,noventa y uno,,,normal
ninety-seven,noventa y siete,,,normal
ninety-six,noventa y seis,,,normal
ninety-three,noventa y tres,,,normal
ninety-two,noventa y dos,,,normal
one,uno,,,simple
one hundred,cien,,,normal
one million,un millón,,,normal
one million eight hundred and twenty-five thousand three hundred and twenty-five,un millón ochocientos veinticinco mil trescientos veinticinco,,,hard
one thousand,mil,,,normal
one thousand and forty-eight,mil cuarenta y ocho,,,hard
one thousand and thirty-four,mil treinta y cuatro,,,hard
one thousand eight hundred and thirty-four,mil ochocientos treinta y cuatro,,,hard
seven,siete,,,simple
seven thousand,siete mil,,,normal
seventeen,diecisiete,,,normal
seventy,setenta,,,normal
seventy-eight,setenta y ocho,,,normal
seventy-five,setenta y cinco,,,normal
seventy-four,setenta y cuatro,,,normal
seventy-nine,setenta y nueve,,,normal
seventy-one,setenta y uno,,,normal
seventy-seven,setenta y siete,,,normal
seventy-six,setenta y seis,,,normal
seventy-three,setenta y tres,,,normal
seventy-two,setenta y dos,,,normal
six,seis,,,simple
six thousand,seis mil,,,normal
six thousand two hundred and thirty-four,seis mil doscientos treinta y cuatro,,,hard
sixteen,dieciséis,,,normal
sixty,sesenta,,,normal
sixty-eight,sesenta y ocho,,,normal
sixty-five,sesenta y cinco,,,normal
sixty-four,sesenta y cuatro,,,normal
sixty-nine,sesenta y nueve,,,normal
sixty-one,sesenta y uno,,,normal
sixty-seven,sesenta y siete,,,normal
sixty-six,sesenta y seis,,,normal
sixty-three,sesenta y tres,,,normal
sixty-two,sesenta y dos,,,normal
ten,diez,,,simple
ten thousand,diez mil,,,normal
thirteen,trece,,,normal
thirty,treinta,,,normal
thirty-eight,treinta y ocho,,,normal
thirty-five,treinta y cinco,,,normal
thirty-four,treinta y cuatro,,,normal
thirty-nine,treinta y nueve,,,normal
thirty-one,treinta y uno,,,normal
thirty-seven,treinta y siete,,,normal
thirty-six,treinta y seis,,,normal
thirty-three,treinta y tres,,,normal
thirty-two,treinta y dos,,,normal
three,tres,,,simple
three million eight hundred and twenty-five thousand three hundred and twenty-five,tres millones ochocientos veinticinco mil trescientos veinticinco,,,hard
three thousand,tres mil,,,normal
twelve,doce,,,normal
twenty,veinte,,,normal
twenty-eight,veintiocho,,,normal
twenty-five,veinticinco,,,normal
twenty-four,veinticuatro,,,normal
twenty-nine,veintinueve,,,normal
twenty-one,veintiuno,,,normal
twenty-seven,veintisiete,,,normal
twenty-six,veintiséis,,,normal
twenty-three,veintitrés,,,normal
twenty-two,veintidós,,,normal
two,dos,,,simple
two thousand,dos mil,,,normal
zero,cero,,,simple
