term,value,context,context value,level
@topic,Chiffres,,,
@author,Kazbek Biasti,,,
eight,huit,,,simple
eight thousand,huit mille,,,normal
eight thousand two hundred and twenty,huit mille deux cent vingt,,,hard
eighteen,dix-huit,,,normal
eighteen thousand six hundred and thirty-four,dix-huit mille six cent trente-quatre,,,hard
eighty,quatre-vingts,,,normal
eighty-eight,quatre-vingt-huit,,,normal
eighty-five,quatre-vingt-cinq,,,normal
eighty-four,quatre-vingt-quatre,,,normal
eighty-nine,quatre-vingt-neuf,,,normal
eighty-one,quatre-vingt-un,,,normal
eighty-seven,quatre-vingt-sept,,,normal
eighty-six,quatre-vingt-six,,,normal
eighty-three,quatre-vingt-trois,,,normal
eighty-two,quatre-vingt-deux,,,normal
eleven,onze,,,normal
eleven thousand two hundred and thirty-four,onze mille deux cent trente-quatre,,,hard
fifteen,quinze,,,normal
fifty,cinquante,,,normal
fifty-eight,cinquante-huit,,,normal
fifty-five,cinquante-cinq,,,normal
fifty-four,cinquante-quatre,,,normal
fifty-nine,cinquante-neuf,,,normal
fifty-one,cinquante et un,,,normal
fifty-seven,cinquante-sept,,,normal
fifty-six,cinquante-six,,,normal
fifty-three,cinquante-trois,,,normal
fifty-two,cinquante-deux,,,normal
five,cinq,,,simple
five thousand,cinq mille,,,normal
forty,quarante,,,normal
forty-eight,quarante-huit,,,normal
forty-five,quarante-cinq,,,normal
forty-four,quarante-quatre,,,normal
forty-nine,quarante-neuf,,,normal
forty-one,quarante et un,,,normal
forty-seven,quarante-sept,,,normal
forty-six,quarante-six,,,normal
forty-three,quarante-trois,,,normal
forty-two,quarante-deux,,,normal
four,quatre,,,simple
four thousand,quatre mille,,,normal
fourteen,quatorze,,,normal
nine,neuf,,,simple
nine thousand,neuf mille,,,normal
nineteen,dix-neuf,,,normal
ninety,quatre-vingt-dix,,,normal
ninety-eight,quatre-vingt-dix-huit,,,normal
ninety-five,quatre-vingt-quinze,,,normal
ninety-four,quatre-vingt-quatorze,,,normal
ninety-nine,quatre-vingt-dix-neuf,,,normal
ninety-one,quatre-vingt-onze,,,normal
ninety-seven,quatre-vingt-dix-sept,,,normal
ninety-six,quatre-vingt-seize,,,normal
ninety-three,quatre-vingt-treize,,,normal
ninety-two,quatre-vingt-douze,,,normal
one,un,,,simple
one hundred,cent,,,normal
one million,un million,,,normal
one million eight hundred and twenty-five thousand three hundred and twenty-five,un million huit cent vingt-cinq mille trois cent vingt-cinq,,,hard
one thousand,un mille,,,normal
one thousand and forty-eight,mille quarante-huit,,,hard
one thousand and thirty-four,mille trente-quatre,,,hard
one thousand eight hundred and thirty-four,mille huit cent trente-quatre,,,hard
seven,sept,,,simple
seven thousand,sept mille,,,normal
seventeen,dix-sept,,,normal
seventy,soixante-dix,,,normal
seventy-eight,soixante-dix-huit,,,normal
seventy-five,soixante-quinze,,,normal
seventy-four,soixante-quatorze,,,normal
seventy-nine,soixante-dix-neuf,,,normal
seventy-one,soixante et onze,,,normal
seventy-seven,soixante-dix-sept,,,normal
seventy-six,soixante-seize,,,normal
seventy-three,soixante-treize,,,normal
seventy-two,soixante-douze,,,normal
six,six,,,simple
six thousand,six mille,,,normal
six thousand two hundred and thirty-four,six mille deux cent trente-quatre,,,hard
sixteen,seize,,,normal
sixty,soixante,,,normal
sixty-eight,soixante-huit,,,normal
sixty-five,soixante-cinq,,,normal
sixty-four,soixante-quatre,,,normal
sixty-nine,soixante-neuf,,,normal
sixty-one,soixante et un,,,normal
sixty-seven,soixante-sept,,,normal
sixty-six,soixante-six,,,normal
sixty-three,soixante-trois,,,normal
sixty-two,soixante-deux,,,normal
ten,dix,,,simple
ten thousand,dix mille,,,normal
thirteen,treize,,,normal
thirty,trente,,,normal
thirty-eight,trente-huit,,,normal
thirty-five,trente-cinq,,,normal
thirty-four,trente-quatre,,,normal
thirty-nine,trente-neuf,,,normal
thirty-one,trente et un,,,normal
thirty-seven,trente-sept,,,normal
thirty-six,trente-six,,,normal
thirty-three,trente-trois,,,normal
thirty-two,trente-deux,,,normal
three,trois,,,simple
three million eight hundred and twenty-five thousand three hundred and twenty-five,trois millions huit cent vingt-cinq mille trois cent vingt-cinq,,,hard
three thousand,trois mille,,,normal
twelve,douze,,,normal
twenty,vingt,,,normal
twenty-eight,vingt-huit,,,normal
twenty-five,vingt-cinq,,,normal
twenty-four,vingt-quatre,,,normal
twenty-nine,vingt-neuf,,,normal
twenty-one,vingt et un,,,normal
twenty-seven,vingt-sept,,,normal
twenty-six,vingt-six,,,normal
twenty-three,vingt-trois,,,normal
twenty-two,vingt-deux,,,normal
two,deux,,,simple
two thousand,deux mille,,,normal
zero,zéro,,,simple
