term,value,context,context value,image
@topic,Движения,,,
@author,Kazbek Byasov,,,
amble,иноходь,,,motions/amble/image1.gif
bounce,отскакивать,,,motions/bounce/image1.gif
bump,толкать,,,motions/bump/image1.gif
dart,метать,,,motions/dart/image1.gif
dance,танцевать,,,motions/dance/image1.gif
jog,бежать трусцой,,,motions/jog/image1.gif
laugh,смеяться,,,motions/laugh/image1.gif
limp,хромать,,,motions/limp/image1.gif
lope,скакать,,,motions/lope/image1.gif
roll,катиться,,,motions/roll/image1.gif
run,бегать,,,motions/run/image1.gif
saunter,прогуливаться,,,motions/saunter/image1.gif
scamper,убегать,,,motions/scamper/image1.gif
scurry,беготня,,,motions/scurry/image1.gif
spin,вращаться,,,motions/spin/image1.gif
stagger,шататься,,,motions/stagger/image1.gif
strut,гордая поступь,,,motions/strut/image1.gif
swagger,чванство,,,motions/swagger/image1.gif
sway,качаться,,,motions/sway/image1.gif
tiptoe,идти на цыпочках,,,motions/tiptoe/image1.gif
traipse,тащиться,,,motions/traipse/image1.gif
walk,ходить,,,motions/walk/image1.gif
work,работать,,,motions/work/image1.gif
