term,value,context,context value,level
@topic,People.Family,,,
@author,Kazbek Biasti,,,
baby,bebé,,,simple
boy,niño,,,simple
bride,novia,,,simple
brothers,hermanos,,,simple
children,niños,,,simple
daughter,hija,,,simple
family,familia,,,simple
father,padre,,,simple
girl,niña,,,simple
grandfather,abuelo,,,simple
grandmother,abuela,,,simple
groom,novio,,,normal
husband,marido,,,normal
man,hombre,,,simple
mother,madre,,,simple
parents,padres,,,simple
son,hijo,,,simple
twins,gemelos,,,normal
wife,esposa,,,normal
woman,mujer,,,simple
