term,value
@topic,Животные (Новичок)
@author,Kazbek Byasov
@images,animals
butterfly,бабочка
ram,баран
snow leopard,барс
hippopotamus,бегемот
squirrel,белка
white bear,белый медведь
beaver,бобр
ladybird,божья коровка
brown bear,бурый медведь
bull,бык
monitor lizard,варан
camel,верблюд
wolf,волк
sparrow,воробей
crow,ворона
cheetah,гепард
hyena,гиена
tadpole,головастик
pigeon,голубь
rodent,грызун
caterpillar,гусеница
goose,гусь
dolphin,дельфин
earthworm,дождевой червь
woodpecker,дятел
hedgehog,ёж
toad,жаба
giraffe,жираф
crane,журавль
hare,заяц
zebra,зебра
snake,змея
turkey,индейка
kangaroo,кенгуру
whale,кит
goat,коза
kid,козлёнок
mosquito,комар
cow,корова
cat,кот
crab,краб
crocodile,крокодил
rabbit,кролик
mole,крот
rat,крыса
grasshopper,кузнечик
cuckoo,кукушка
hen,курица
lama,лама
swallow,ласточка
swan,лебедь
lion,лев
leopard,леопард
bat,летучая мышь
fox,лиса
elk,лось
horse,лошадь
frog,лягушка
bear,медведь
jellyfish,медуза
walrus,морж
ant,муравей
fly,муха
mouse,мышь
rhinoceros,носорог
monkey,обезьяна
sheep,овца
eagle,орёл
wasp,оса
donkey,осёл
octopus,осьминог
peacock,павлин
panda,панда
cock,петух
penguin,пингвин
parrot,попугай
bee,пчела
crawfish,рак
fish,рыба
pig,свинья
scorpion,скорпион
elephant,слон
dog,собака
owl,сова
magpie,сорока
ostrich,страус
dragonfly,стрекоза
gopher,суслик
calf,телёнок
tiger,тигр
capra,тур
seal,тюлень
anaconda,удав
snail,улитка
duck,утка
flamingo,фламинго
chameleon,хамелеон
hamster,хомяк
heron,цапля
poult,цыплёнок
gull,чайка
worm,червь
tortoise,черепаха
puppy,щенок
lamb,ягнёнок
jaguar,ягуар
yak,як
lizard,ящерица
