term,value
@topic,Млекопитающие
@author,Kazbek Byasov
ram,баран
snow leopard,барс
badger,барсук
hippopotamus,бегемот
white rat,белая крыса
squirrel,белка
flying squirrel,белка-летяга
white bear,белый медведь
stag deer,благородный олень
beaver,бобр
greyhound,борзая
buffalo,буйвол
chipmunk,бурундук
brown bear,бурый медведь
bull,бык
steer,бычок
wild boar,кабан
camel,верблюд
wolf,волк
otter,выдра
gazelle,джейран
cheetah,гепард
gibbon,гиббон
hyena,гиена
ermine,горностай
rodent,грызун
dolphin,дельфин
raccoon,енот
spiny anteater,ехидна
hedgehog,ёж
stallion,жеребец
colt,жеребёнок
giraffe,жираф
hare,заяц
blue hare,заяц-беляк
zebra,зебра
shrew,землеройка
auroch bison,зубр
kangaroo,кенгуру
whale,кит
mare,кобыла
goat,коза
kid,козлёнок
cow,корова
steppe fox,корсак
roe deer,косуля
cat,кот
fur seal,котик
rabbit,кролик
mole,крот
fruit-bat,крылан
rat,крыса
onager,кулан
marten,куница
lama,лама
doe,лань
weasel,хорёк
lion,лев
lemming,лемминг
leopard,леопард
bat,летучая мышь
fox,лиса
elk,лось
horse,лошадь
lioness,львица
mammoth,мамонт
bear,медведь
walrus,морж
guinea-pig,морская свинка
mule,мул
anteater,муравьед
mouse,мышь
mink,норка
rhinoceros,носорог
monkey,обезьяна
sheep,овца
female deer,оленья самка
orangoutan,орангутанг
donkey,осёл
burro baby-ass,ослик
panda,панда
marbled polecat,перевязка
polar fox,песец
pika,пищуха
arvicolinae,полевка
piglet,поросёнок
puma,пума
lynx,рысь
saiga,сайгак
pig,свинья
northern deer,северный олень
chamois,серна
skunk,скунс
elephant,слон
dog,собака
sable,соболь
marmot,сурок
gopher,суслик
calf,телёнок
heifer,тёлка
tiger,тигр
capra,тур
jerboa,тушканчик
seal,тюлень
duckbill,утконос
the long-eared bat,ушан
hamster,хомяк
jackal,шакал
puppy,щенок
lamb,ягнёнок
jaguar,ягуар
yak,як
