term,value,context,context value,level
@topic,Menschlich.Körper,,,
@author,Milena Byasova,,,
abdomen,der Bauch,,,simple
ankle,der Knöchel,,,hard
arm,der Arm,,,simple
armpit,die Achselhöhle,,,normal
back,der Rücken,,,simple
beard,der Bart,,,normal
big toe,großer Zeh,,,simple
brain,das Gehirn,,,normal
buttocks,das Gesäß,,,normal
calf,der Unterschenkel,,,normal
cheek,die Wange,,,simple
chest,die Brust,,,simple
chin,das Kinn,,,simple
ear,das Ohr,,,simple
elbow,der Ellbogen,,,simple
esophagus,die Speiseröhre,,,hard
eyebrow,die Augenbraue,,,normal
eyelashes,die Wimpern,,,normal
eyelid,das Augenlid,,,normal
face,das Gesicht,,,simple
fingernail,der Nagel,,,simple
forearm,der Unterarm,,,normal
forehead,der Stirn,,,simple
hair,die Haare,,,simple
heel,die Ferse,,,normal
hip,die Hüfte,,,normal
index finger,der Zeigefinger,,,simple
instep,der Rist,,,normal
iris,die Iris,,,hard
jaw,der Kiefer,,,normal
knee,das Knie,,,simple
knuckle,der Fingerknöchel,,,hard
leg,das Bein,,,simple
lip,die Lippe,,,simple
little finger,der kleine Finger,,,simple
little toe,kleiner Finger,,,simple
middle finger,der Mittelfinger,,,simple
mouth,der Mund,,,simple
mustache,der Schnurrbart,,,normal
neck,der Hals,,,simple
nose,die Nase,,,simple
nostril,das Nasenloch,,,hard
palm,die Handfläche,,,simple
pupil,die Pupille,,,hard
ring finger,der Ringfinger,,,simple
shoulder,die Schulter,,,simple
sideburn,die Koteletten,,,hard
spinal cord,das Rückenmark,,,hard
thigh,der Oberschenkel,,,normal
throat,die Kehle,,,hard
thumb,der Daumen,,,simple
toe,die Zehe,,,simple
toenail,der Zehennagel,,,simple
tongue,der Zunge,,,simple
tooth,der Zahn,,,simple
upper arm,der Oberarm,,,simple
waist,die Taille,,,hard
windpipe,die Luftröhre,,,hard
wrist,das Handgelenk,,,hard
