term,value,context,context value,level
@topic,Действия,,,
@author,Kazbek Byasov,,,
amble,иноходь,,,hard
bounce,отскакивать,,,normal
bump,толкать,,,simple
dart,метать,,,normal
dance,танцевать,,,simple
jog,бежать трусцой,,,normal
laugh,смеяться,,,simple
limp,хромать,,,simple
lope,скакать,,,normal
roll,катиться,,,simple
run,бегать,,,simple
saunter,прогуливаться,,,normal
scamper,убегать,,,normal
scurry,беготня,,,normal
spin,вращаться,,,normal
stagger,шататься,,,normal
strut,гордая поступь,,,hard
sway,качаться,,,simple
tiptoe,идти на цыпочках,,,simple
traipse,тащиться,,,normal
walk,ходить,,,simple
work,работать,,,simple
