term,value,context,context value,image
@topic,Miscellaneous,,,
@author,Kazbek Byasov,,,
anguish,мучение,,,misc/heavy/image1.gif
be sick,болеть,,,misc/be sick/image1.gif
between,между,,,
boundary,граница,,,
box,ящик,,,
brick,кирпич,,,
bride,невеста,,,
bucket,ведро,,,
buttock,ягодица,,,
cast iron,чугун,,,
chair,стул,,,
chimney,дымоход,,,
circle,окружность,,,
clear,чистый,,,
coffee,кофе,,,
court,суд,,,
dirty weather,ненастье,,,misc/dirty weather/image1.gif
earth,земля,,,
eat,хавать,,,misc/eat/image1.gif
familiar,знакомый,,,misc/familiar/image1.gif
fraud,обман,,,misc/fraud/image1.gif
gems,драгоценные камни,,,misc/gems/image1.gif
glue,клей,,,misc/glue/image1.gif
greed,жадность,,,misc/greed/image1.gif
greek,грек,,,
groom,жених,,,
harbor,гавань,,,
hawser,трос,,,
hearth,очаг,,,
heavy,обильный,,,misc/heavy/image1.gif
hell-fire,пекло,,,misc/hell-fire/image1.gif
hematoma,гематома,,,
hogweed,борщевик,,,
hug,обнимать,,,misc/hug/image1.gif
husband,супруг,,,misc/husband/image1.gif
image,образ,,,
jointer,фуганок,,,
jump,прыгать,,,misc/jump/image1.gif
knee,колено,,,misc/knee/image1.gif
lake,озеро,,,
lathe,токарный станок,,,
lead,свинец,,,
lightning,молния,,,
line,линия,,,
maybe,может быть,,,misc/maybe/image1.gif
message,сообщение,,,misc/message/image1.gif
mumbler,мямля,,,misc/mumbler/image1.gif
overhang,навес,,,
paddle,весло,,,
pillar,столб,,,
prey,добыча,,,
rope,веревка,,,
rust,ржавчина,,,
sausage,колбаса,,,
share,доля,,,misc/share/image1.gif
shine,свет,,,misc/shine/image1.gif
ship,корабль,,,
shooting range,тир,,,
shoulders ride,катание на спине,,,misc/shoulders ride/image1.gif
silk,шелк,,,
slumber,дрема,,,misc/slumber/image1.gif
sky,небо,,,
sledgehammer,кувалда,,,
slope,склон,,,
small axe,маленький топор,,,
smog,смог,,,misc/smog/image1.gif
spin,кружиться,,,misc/spin/image1.gif
spirit,дух,,,misc/spirit/image1.gif
sprouts,побеги,,,misc/sprouts/image1.gif
stairs,лестница,,,
tan,загар,,,
teapot,чайник,,,
temptation,соблазн,,,misc/temptation/image1.gif
thumb,большой палец,,,misc/thumb/image1.gif
toilet,туалет,,,
torch,факел,,,
cunning,хитрец,,,misc/cunning/image1.gif
waiting,ждать,,,misc/waiting/image1.gif
wattle,плетень,,,
wide,широкий,,,misc/wide/image1.gif
wooden bed,деревянная кровать,,,
yawn,зевота,,,misc/yawn/image1.gif
sharp,острый,,,misc/sharp/image1.gif
storm,буря,,,misc/storm/image1.gif
flute,свирель,,,
cheek,щечка,,,misc/cheek/image1.gif
blister,волдырь,,,
hearth fence,плетень над очагом,,,
mother in law,теща,,,misc/mother in law/image1.gif
wave,волна,,,misc/wave/image1.gif
broom,метла,,,
root,корень,,,
spoon,ложка,,,
puke,вырывать,,,misc/puke/image1.gif
faint,обморок,,,misc/faint/image1.gif
shelf,полка,,,
dawn,заря,,,misc/dawn/image1.gif
win,победа,,,misc/win/image1.gif
back of the hand,тыльная сторона ладони,,,
crane,подъемный кран,,,
captivity,плен,,,misc/captivity/image1.gif
fisher,рыбак,,,misc/fisher/image1.gif
small,маленький,,,misc/small/image1.gif
pants,брюки,,,
brake,тормоз,,,
smoked,копченый,,,
finger ring,перстень,,,
consent,согласие,,,misc/consent/image1.gif
cloud,облако,,,misc/cloud/image1.gif
acne,прыщ,,,misc/acne/image1.gif
washer,шайба,,,
pupil,зрачок,,,
orbit,глазница,,,
lens,хрусталик,,,
marrow,костный мозг,,,
short,короткий,,,misc/short/image1.gif
volume,объем,,,
ground,грунт,,,
heap,куча,,,
candle,свеча,,,
pumice,пемза,,,
honor,почет,,,misc/honor/image1.gif
kudos,слава,,,misc/honor/image1.gif
famous,знаменитый,,,misc/famous/image1.gif
ladle,половник,,,
circassian,черкеска,,,
gutter,желоб,,,
fry,жарить,,,misc/fry/image1.gif
wedge,клин,,,
gravel,щебенка,,,
rag,тряпка,,,
brand,клеймо,,,
bud,почка,,,
angle,угольник,,,
balcony,балкон,,,
glade,поляна,,,
spring,пружина,,,
tremble,дрожать,,,misc/tremble/image1.gif
apron,фартук,,,
blacksmith,кузнец,,,
brook,ручей,,,
caftan,бешмет,,,
cone,конус,,,
cup,чашка,,,
door,дверь,,,
forge,кузница,,,
goal,гол,,,misc/goal/image1.gif
hairless,безволосый,,,
hiccup,икать,,,misc/hiccup/image1.gif
house,дом,,,
inflate,надувать,,,misc/inflate/image1.gif
lump,шишка,,,
muzzle,намордник,,,
peak,пик,,,
pooch,дворняжка,,,
rock,камень,,,
shovel,лопата,,,
snout,морда,,,
spot,пятно,,,
stick,палка,,,
stump,пень,,,
table,треножник,,,
wrong,неверно,,,
