term,value
@topic,Цæрæгойтæ
@author,Kazbek Byasov
asp,аспид
butterfly,гæлæбу
cormorant,баклан
ram,фыр
snow leopard,фыранк
badger,зыгъарæг
hippopotamus,бегемот
ahodonta,беззубкæтæ
snipe,мæга
white rat,урс уыры
white partridge,урс хуыргарк
snowy owl,урс уыг
squirrel,æхсæрсæттæг
flying squirrel,тæхгæ æхсæрæг
griffin,урссæр сип
the beluga,урсгæф
white bear,урс арс
golden eagle,беркут
stag deer,сæрбæрзонд саг
flea,æхсæнкъ
beaver,бобр
mantis,богомол
ladybird,майрæмыкарк
greyhound,егар
bearded vulture,саубоцъо цæргæс
buffalo,къамбец
thunderbird,уадфидиуæг
chipmunk,бурундук
brown bear,бур арс
bull,гал
steer,уæныг
woodcock,хъæды мæга
bluethroat,варакушкæ
monitor lizard,варан
wild boar,хъæддаг хуы
camel,теуа
wryneck,къубалтил
vobla,воблæ
water strider,донбарджытæ
wolf,бирæгъ
sparrow,сырддонцъиу
crow,халон
tartar sand boa,хурыскæсæйнаг æлхъивгалм
sucking louse,сыст
carassius veiltail,вуалехвост
otter,уырд
bittern,хæфсхор
weather loach misgurnus,тыхсой кæсаг
brambling,вьюрок
loon,гагарæ
adder,бурхъус калм
gazelle,сугъахъ
jackdaw,сауцъиу
cheetah,гепард
gibbon,гиббон
hyena,гиенæ
helminth intestinal worm,тъæнгты калм
wood-grouse,къуырмагарк
loach,лыстæгцæппæр кæсаг
tadpole,къæбулæг хъунцъ
pigeon,бæлон (хæдзарон)
copper-butterfly,голубянкæ
redstart,буркъæдзил цъиу
ermine,сыбираг мыстулæг
rook,цъиах
great crested newt,сæрвасæнхуыз тритон
vulture,хæдмæлхор
rodent,æхсынæг
guppies,гуппи
caterpillar,æлыз
goose,хъаз
viper,гюрза
dolphin,сæмгæф
earthworm,къæвдайы уаллон
longhorne beetle,сугдзау (хъæддзау)
thrush,нæмыгхор
bustard,дудахъ
woodpecker,хъæдхой
raccoon,енот
spiny anteater,ехиднæ
hedgehog,уызын
toad,галхæфс
lark,хæрдмæдзог цъиу
glass-lizard,бургуыбын
colias hyade,бургæлæбу
stallion,уырс
colt,байраг
giraffe,жираф
carabus ground beetle,хуры хъæндил
bug,хъæдысыст
blaps beetle,сындæгбыр хъæндил
grave digger,мæркъахæг хъæндил
unicorn beetle,сыкъафындз хъæндил
stag beetle,хъæндил-саг
crane,хърихъупп
demoiselle crane,рæсугъд хърихъупп
hare,тæрхъус
blue hare,урс тæрхъус
zebra,зебрæ
shrew,зæхкъах
lacewings,сыгъзæриндзаст
snake,калм
goldfish,сыгъзæрин кæсаг
auroch bison,хъæддаг гал
finch,митмитгæнаг
oriole,бурцъиу
turkey,сыл гогыз
turkey-cock,нæл гогыз
caucasian black grouse,кавказаг къуырмагарк
branta,казаркæ
cockatoo,стыр тути
squid,кальмар
flounder,камбæлæ
canary,канарейкæ
buzzard,сарыч
white cabbage butterfly,къабускахор
black widow,каракурт
crucian,тъепа
carp,карп
red ramshorn snail,катушкæтæ
spotted nutcracker,сыбираг халон
kangaroo,кенгуру
whale,гайа
crossbill,æхсынæг цъиу
acarid,гæбы
bug tell-tale,хъæдысыст-салдат
chough,клушицæ
