term,value
@topic,Животные(Знающий)
@author,Kazbek Byasov
@images,animals
asp,аспид
butterfly,бабочка
cormorant,баклан
ram,баран
snow leopard,барс
badger,барсук
hippopotamus,бегемот
snipe,бекас
squirrel,белка
flying squirrel,белка-летяга
griffin,белоголовый сип
the beluga,белуга
white bear,белый медведь
golden eagle,беркут
stag deer,благородный олень
flea,блоха
beaver,бобр
mantis,богомол
ladybird,божья коровка
greyhound,борзая
bearded vulture,бородач
buffalo,буйвол
thunderbird,буревестник
chipmunk,бурундук
brown bear,бурый медведь
bull,бык
steer,бычок
monitor lizard,варан
wild boar,кабан
camel,верблюд
vobla,вобла
wolf,волк
sparrow,воробей
crow,ворона
sucking louse,вошь
carassius veiltail,вуалехвост
otter,выдра
bittern,выпь
weather loach misgurnus,вьюн
brambling,вьюрок
loon,гагара
adder,уж
gazelle,джейран
jackdaw,галка
cheetah,гепард
gibbon,гиббон
hyena,гиена
wood-grouse,глухарь
tadpole,головастик
pigeon,голубь
ermine,горностай
rook,грач
great crested newt,гребенчатый тритон
vulture,стервятник
rodent,грызун
guppies,гуппи
caterpillar,гусеница
goose,гусь
viper,гюрза
dolphin,дельфин
earthworm,дождевой червь
thrush,дрозд
bustard,дрофа
woodpecker,дятел
raccoon,енот
spiny anteater,ехидна
hedgehog,ёж
toad,жаба
lark,жаворонок
stallion,жеребец
colt,жеребёнок
giraffe,жираф
crane,журавль
hare,заяц
blue hare,заяц-беляк
zebra,зебра
lacewings,златоглазки
snake,змея
goldfish,золотая рыбка
auroch bison,зубр
finch,зяблик
oriole,иволга
turkey,индейка
turkey-cock,индюк
caucasian black grouse,кавказский тетерев
branta,казарка
cockatoo,какаду
squid,кальмар
flounder,камбала
canary,канарейка
crucian,карась
carp,карп
kangaroo,кенгуру
whale,кит
crossbill,клест
acarid,клещ
chough,клушица
cobra,кобра
red-footed falcon,кобчик
mare,кобыла
goat,коза
kid,козлёнок
nightjar,козодой
humming-bird,колибри
mosquito,комар
cow,корова
kinglet,королёк
corn crake,коростель
steppe fox,корсак
kite,коршун
roe deer,косуля
cat,кот
fur seal,котик
crab,краб
shrimp,креветки
merlin arctic falcon,кречет
crocodile,крокодил
rabbit,кролик
mole,крот
rat,крыса
grasshopper,кузнечик
cuckoo,кукушка
sandspiper,кулик
marten,куница
hen,курица
partridge,куропатка
lama,лама
doe,лань
weasel,хорёк
swallow,ласточка
swan,лебедь
lion,лев
leopard,леопард
bat,летучая мышь
fox,лиса
salmon,лосось
elk,лось
horse,лошадь
pied bushchat,луговой чекан
harrier,лунь
lioness,львица
frog,лягушка
swallowtail,махаон
mole-cricket,медведка
bear,медведь
jellyfish,медуза
centipede,сороконожка
wood louse,мокрица
moth,моль
walrus,морж
guinea-pig,морская свинка
mule,мул
ant,муравей
anteater,муравьед
fly,муха
fly-catcher,мухоловка
mouse,мышь
mink,норка
rhinoceros,носорог
monkey,обезьяна
gadfly,овод
sheep,овца
orangoutan,орангутанг
eagle,орёл
wasp,оса
donkey,осёл
burro baby-ass,ослик
octopus,осьминог
peacock,павлин
panda,панда
spider,паук
pelican,пеликан
quail,перепел
polar fox,песец
cock,петух
penguin,пингвин
python,питон
pika,пищуха
bloodsucker,пиявка
parrot,попугай
piglet,поросёнок
puma,пума
snow bunting,пуночка
bee,пчела
crawfish,рак
fish,рыба
lynx,рысь
hazel hen,рябчик
ciprinus carpio carp,сазан
saiga,сайгак
locust,саранча
cricket,сверчок
glowworm,светлячок
pig,свинья
northern deer,северный олень
herring,сельд
chamois,серна
titmouse,синица
scalare,скалярий
batoidea,скат
starling,скворец
scorpion,скорпион
skunk,скунс
horsefly,слепень
slug,слизень
elephant,слон
bullfinch,снегирь
dog,собака
sable,соболь
owl,сова
falcon,сокол
nightingale,соловей
catfish,сом
magpie,сорока
ostrich,страус
dragonfly,стрекоза
little bustard,стрепет
sand martin,стриж
zander pike-perch,судак
marmot,сурок
gopher,суслик
horned owl,сыч
cockroach,таракан
tarantula,тарантул
calf,телёнок
heifer,тёлка
termite,термит
blackcock,тетерев
tiger,тигр
aphid,тля
bankcod,треска
eft,тритон
wagtail,трясогузка
toucan,тукан
capra,тур
jerboa,тушканчик
seal,тюлень
grig,угорь
anaconda,удав
hoopoe,удод
snail,улитка
duck,утка
duckbill,утконос
the long-eared bat,ушан
pheasant,фазан
eagle owl,филин
flamingo,фламинго
trout,форель
chameleon,хамелеон
hamster,хомяк
corydalis,хохлатка
heron,цапля
pearl-hen,цесарка
poult,цыплёнок
gull,чайка
worm,червь
tortoise,черепаха
jackal,шакал
bumblebee,шмель
puppy,щенок
gloydius,щитомордник
pike,щука
lamb,ягнёнок
jaguar,ягуар
yak,як
hawk,ястреб
lizard,ящерица
