term,value,context,context value,level
@topic,Familie
@author,Milena Byasova
baby,das Baby,,,simple
boy,der Junge,,,simple
bride,die Braut,,,simple
brothers,die Bruder,,,simple
children,die Kinder,,,simple
daughter,die Tochter,,,simple
family,die Familie,,,simple
father,der Vater,,,simple
girl,das Madchen,,,simple
grandfather,der Großvater,,,simple
grandmother,die Großmutter,,,simple
groom,der Bräutigam,,,normal
husband,der Ehemann,,,normal
man,der Mann,,,simple
mother,die Mutter,,,simple
parents,die Eltern,,,simple
son,der Sohn,,,simple
twins,die Zwillinge,,,normal
wife,die Ehefrau,,,normal
woman,die Frau,,,simple
