term,value,context,context value,level
@topic,Разное,,,
@author,Kazbek Byasov,,,
anguish,мучение,,,normal
be sick,болеть,,,simple
between,между,,,simple
boundary,граница,,,normal
box,ящик,,,simple
brick,кирпич,,,simple
bride,невеста,,,normal
bucket,ведро,,,simple
buttock,ягодица,,,simple
cast iron,чугун,,,normal
chair,стул,,,simple
chimney,дымоход,,,normal
circle,окружность,,,hard
clear,чистый,,,simple
coffee,кофе,,,simple
court,суд,,,normal
dirty weather,ненастье,,,normal
earth,земля,,,simple
eat,хавать,,,normal
familiar,знакомый,,,normal
fraud,обман,,,normal
gems,драгоценные камни,,,normal
glue,клей,,,normal
greed,жадность,,,normal
greek,грек,,,normal
groom,жених,,,normal
harbor,гавань,,,hard
hawser,трос,,,hard
hearth,очаг,,,hard
heavy,обильный,,,hard
hell-fire,пекло,,,normal
hematoma,гематома,,,normal
hogweed,борщевик,,,hard
hug,обнимать,,,simple
husband,супруг,,,normal
image,образ,,,simple
jointer,фуганок,,,normal
jump,прыгать,,,simple
knee,колено,,,simple
lake,озеро,,,simple
lathe,токарный станок,,,normal
lead,свинец,,,hard
lightning,молния,,,normal
line,линия,,,simple
maybe,может быть,,,simple
message,сообщение,,,simple
mumbler,мямля,,,simple
overhang,навес,,,normal
paddle,весло,,,simple
pillar,столб,,,simple
prey,добыча,,,normal
rope,веревка,,,simple
rust,ржавчина,,,normal
sausage,колбаса,,,simple
share,доля,,,normal
shine,свет,,,simple
ship,корабль,,,simple
shooting range,тир,,,normal
shoulders ride,катание на спине,,,normal
silk,шелк,,,normal
slumber,дрема,,,normal
sky,небо,,,simple
sledgehammer,кувалда,,,simple
slope,склон,,,normal
small axe,маленький топор,,,normal
smog,смог,,,normal
spin,кружиться,,,simple
spirit,дух,,,normal
sprouts,побеги,,,normal
stairs,лестница,,,simple
tan,загар,,,normal
teapot,чайник,,,simple
temptation,соблазн,,,hard
thumb,большой палец,,,simple
toilet,туалет,,,simple
torch,факел,,,simple
cunning,хитрец,,,normal
waiting,ждать,,,normal
wattle,плетень,,,normal
wide,широкий,,,simple
wooden bed,деревянная кровать,,,normal
yawn,зевота,,,simple
sharp,острый,,,normal
storm,буря,,,normal
flute,свирель,,,hard
cheek,щечка,,,simple
blister,волдырь,,,normal
hearth fence,плетень над очагом,,,hard
mother in law,теща,,,normal
wave,волна,,,simple
broom,метла,,,simple
root,корень,,,simple
spoon,ложка,,,simple
puke,вырывать,,,simple
faint,обморок,,,simple
shelf,полка,,,normal
dawn,заря,,,simple
win,победа,,,simple
back of the hand,тыльная сторона ладони,,,hard
crane,подъемный кран,,,normal
captivity,плен,,,hard
fisher,рыбак,,,normal
small,маленький,,,simple
pants,брюки,,,simple
brake,тормоз,,,normal
smoked,копченый,,,normal
finger ring,перстень,,,normal
consent,согласие,,,normal
cloud,облако,,,simple
acne,прыщ,,,normal
washer,шайба,,,simple
pupil,зрачок,,,normal
orbit,глазница,,,normal
lens,хрусталик,,,normal
marrow,костный мозг,,,hard
short,короткий,,,simple
volume,объем,,,normal
