term,value
@topic,Животные
@author,Kazbek Byasov
asp,аспид
butterfly,бабочка
cormorant,баклан
ram,баран
snow leopard,барс
badger,барсук
hippopotamus,бегемот
ahodonta,беззубки
snipe,бекас
white rat,белая крыса
white partridge,белая куропатка
snowy owl,белая сова
squirrel,белка
flying squirrel,белка-летяга
griffin,белоголовый сип
the beluga,белуга
white bear,белый медведь
golden eagle,беркут
stag deer,благородный олень
flea,блоха
beaver,бобр
mantis,богомол
ladybird,божья коровка
greyhound,борзая
bearded vulture,бородач
buffalo,буйвол
thunderbird,буревестник
chipmunk,бурундук
brown bear,бурый медведь
bull,бык
steer,бычок
woodcock,вальдшнеп
bluethroat,варакушка
monitor lizard,варан
wild boar,кабан
camel,верблюд
wryneck,вертишейка
vobla,вобла
water strider,водомерки
wolf,волк
sparrow,воробей
crow,ворона
tartar sand boa,восточный удавчик
sucking louse,вошь
carassius veiltail,вуалехвост
otter,выдра
bittern,выпь
weather loach misgurnus,вьюн
brambling,вьюрок
loon,гагара
adder,уж
gazelle,джейран
jackdaw,галка
cheetah,гепард
gibbon,гиббон
hyena,гиена
helminth intestinal worm,глист
wood-grouse,глухарь
loach,голец
tadpole,головастик
pigeon,голубь
copper-butterfly,голубянка
redstart,горихвостка
ermine,горностай
rook,грач
great crested newt,гребенчатый тритон
vulture,стервятник
rodent,грызун
guppies,гуппи
caterpillar,гусеница
goose,гусь
viper,гюрза
dolphin,дельфин
earthworm,дождевой червь
longhorne beetle,дровосек
thrush,дрозд
bustard,дрофа
woodpecker,дятел
raccoon,енот
spiny anteater,ехидна
hedgehog,ёж
toad,жаба
lark,жаворонок
glass-lizard,желтопузик
colias hyade,желтушка
stallion,жеребец
colt,жеребёнок
giraffe,жираф
carabus ground beetle,жужелица
bug,клоп
blaps beetle,жук-медляк
grave digger,жук-могильщик
unicorn beetle,жук-носорог
stag beetle,жук-олень
crane,журавль
demoiselle crane,журавль-красавка
hare,заяц
blue hare,заяц-беляк
zebra,зебра
shrew,землеройка
lacewings,златоглазки
snake,змея
goldfish,золотая рыбка
auroch bison,зубр
finch,зяблик
oriole,иволга
turkey,индейка
turkey-cock,индюк
caucasian black grouse,кавказский тетерев
branta,казарка
cockatoo,какаду
squid,кальмар
flounder,камбала
canary,канарейка
buzzard,сарыч
white cabbage butterfly,капустница
black widow,каракурт
crucian,карась
carp,карп
red ramshorn snail,катушки
spotted nutcracker,кедровка
kangaroo,кенгуру
whale,кит
crossbill,клест
acarid,клещ
bug tell-tale,клоп-солдатик
chough,клушица
cobra,кобра
red-footed falcon,кобчик
mare,кобыла
goat,коза
kid,козлёнок
nightjar,козодой
humming-bird,колибри
mosquito,комар
pipit,конёк
cow,корова
bark beetle,короед
kinglet,королёк
corn crake,коростель
steppe fox,корсак
kite,коршун
roe deer,косуля
cat,кот
fur seal,котик
crab,краб
small tortoiseshell,крапивница
giildenstadt’s redstart,краснобрюхая горихвостка
forest caterpillar hunter,красотел пахучий
shrimp,креветки
merlin arctic falcon,кречет
crocodile,крокодил
rabbit,кролик
mole,крот
fruit-bat,крылан
rat,крыса
mallard quack,кряква
grasshopper,кузнечик
cuckoo,кукушка
onager,кулан
sandspiper,кулик
marten,куница
hen,курица
partridge,куропатка
lama,лама
doe,лань
weasel,хорёк
swallow,ласточка
swan,лебедь
lion,лев
lemming,лемминг
leopard,леопард
bat,летучая мышь
fox,лиса
salmon,лосось
elk,лось
horse,лошадь
pied bushchat,луговой чекан
harrier,лунь
lioness,львица
frog,лягушка
paradise fish,макропод
mammoth,мамонт
swallowtail,махаон
mole-cricket,медведка
bear,медведь
jellyfish,медуза
platyfish,меченосец
centipede,сороконожка
wood louse,мокрица
moth,моль
walrus,морж
guinea-pig,морская свинка
(sea) scallops,морские гребешки
starfish,морские звёзды
sea-horse,морские коньки
mule,мул
ant,муравей
anteater,муравьед
fly,муха
fly-catcher,мухоловка
mouse,мышь
mink,норка
rhinoceros,носорог
monkey,обезьяна
common ruffe,обыкновенный ёрш
gadfly,овод
sheep,овца
ruddy shelduck,огарь
perch,окунь
female deer,оленья самка
orangoutan,орангутанг
eagle,орёл
wasp,оса
donkey,осёл
burro baby-ass,ослик
octopus,осьминог
peacock,павлин
panda,панда
spider,паук
common shelduck,пеганка
pelican,пеликан
marbled polecat,перевязка
quail,перепел
margaritana,перловица
polar fox,песец
zygaenidae,пестрянка
cock,петух
penguin,пингвин
python,питон
pika,пищуха
bloodsucker,пиявка
phiclides podalirius,подалирий
arvicolinae,полевка
nuthatch,поползень
parrot,попугай
piglet,поросёнок
limnaeidae pond-snails,прудовики
puma,пума
snow bunting,пуночка
kestrel,пустельги
bee,пчела
crawfish,рак
pink starling,розовый скворец
fish,рыба
lynx,рысь
hazel hen,рябчик
ciprinus carpio carp,сазан
saiga,сайгак
locust,саранча
sardine,сардина
cricket,сверчок
glowworm,светлячок
pig,свинья
northern deer,северный олень
stellate sturgeon,севрюга
