term,value,context,context value,level
@topic,Miscellaneous,,,
@author,Kazbek Biasti,,,
acne,acné,,,normal
angle,ángulo,,,normal
anguish,angustia,,,normal
apron,delantal,,,hard
back of the hand,dorso de la mano,,,hard
balcony,balcón,,,normal
be sick,estar enfermo,,,simple
between,entre,,,simple
blacksmith,herrero,,,hard
blister,ampolla,,,normal
boundary,frontera,,,normal
box,caja,,,simple
brake,freno,,,normal
brand,marca,,,normal
brick,ladrillo,,,simple
bride,novia,,,normal
brook,arroyo,,,normal
broom,escoba,,,simple
bucket,cubo,,,simple
bud,brote,,,normal
buttock,nalga,,,simple
caftan,caftán,,,hard
candle,vela,,,simple
captivity,cautiverio,,,hard
cast iron,hierro fundido,,,normal
chair,silla,,,simple
cheek,mejilla,,,simple
chimney,chimenea,,,normal
circassian,circasiano,,,normal
circle,círculo,,,hard
clear,claro,,,simple
cloud,nube,,,simple
coffee,café,,,simple
cone,cono,,,hard
consent,consentimiento,,,normal
court,tribunal,,,normal
crane,grúa,,,normal
cunning,astucia,,,normal
cup,copa,,,normal
dawn,amanecer,,,simple
dirty weather,tiempo sucio,,,normal
door,puerta,,,simple
earth,tierra,,,simple
eat,comer,,,normal
faint,débil,,,simple
familiar,familiar,,,normal
famous,famoso,,,normal
finger ring,dedo anillo,,,normal
fisher,pescador,,,normal
flute,flauta,,,hard
forge,forja,,,normal
fraud,fraude,,,normal
fry,freír,,,simple
gems,gemas,,,normal
glade,glade,,,normal
glue,pegamento,,,normal
goal,meta,,,simple
gravel,grava,,,normal
greed,codicia,,,normal
greek,griego,,,normal
groom,novio,,,normal
ground,suelo,,,normal
gutter,canalón,,,normal
hairless,sin pelo,,,normal
harbor,puerto,,,hard
hawser,sirga,,,hard
heap,montón,,,normal
hearth,hogar,,,hard
hearth fence,valla del hogar,,,hard
heavy,pesado,,,hard
hell-fire,fuego del infierno,,,normal
hematoma,hematoma,,,normal
hiccup,hipo,,,simple
hogweed,hogweed,,,hard
honor,honor,,,normal
house,casa,,,simple
hug,abrazo,,,simple
husband,marido,,,normal
image,imagen,,,normal
in turn,a su vez,,,simple
inflate,inflar,,,simple
jointer,ensambladora,,,normal
jump,saltar,,,simple
knee,rodilla,,,simple
kudos,kudos,,,normal
ladle,cazo,,,simple
lake,lago,,,simple
lathe,torno,,,normal
lead,plomo,,,hard
lens,lente,,,normal
lightning,rayo,,,normal
line,línea,,,simple
lump,bulto,,,simple
marrow,médula,,,hard
maybe,tal vez,,,simple
message,mensaje,,,simple
mother in law,suegra,,,normal
mumbler,murmurador,,,simple
muzzle,hocico,,,normal
orbit,órbita,,,normal
overhang,voladizo,,,normal
paddle,paleta,,,simple
pants,pantalones,,,simple
peak,pico,,,normal
pillar,pilar,,,simple
pooch,perro,,,normal
prey,presa,,,normal
puke,vómito,,,simple
pumice,piedra pómez,,,normal
pupil,pupila,,,normal
rag,trapo,,,simple
rock,roca,,,simple
root,raíz,,,simple
rope,cuerda,,,simple
ruby,rubí,,,normal
rust,óxido,,,normal
sausage,salchicha,,,simple
share,compartir,,,normal
sharp,afilado,,,normal
shelf,estante,,,normal
shine,brillar,,,simple
ship,barco,,,simple
shooting range,campo de tiro,,,normal
short,corto,,,simple
shoulders ride,hombros paseo,,,normal
shovel,pala,,,simple
silk,seda,,,normal
sky,cielo,,,simple
sledgehammer,mazo,,,simple
slope,pendiente,,,normal
slumber,sueño,,,normal
small,pequeño,,,simple
small axe,hacha pequeña,,,normal
smog,smog,,,normal
smoked,ahumado,,,normal
snout,hocico,,,normal
spin,girar,,,simple
spirit,espíritu,,,normal
spoon,cuchara,,,simple
spot,spot,,,normal
spring,primavera,,,normal
sprouts,brotes,,,normal
stairs,escalera,,,simple
stick,palo,,,simple
storm,tormenta,,,normal
stump,tocón,,,simple
table,mesa,,,normal
tan,bronceado,,,normal
teapot,tetera,,,simple
temptation,tentación,,,hard
thumb,pulgar,,,simple
toilet,inodoro,,,simple
torch,antorcha,,,simple
tremble,temblar,,,normal
volume,volumen,,,normal
waiting,espera,,,normal
washer,lavadora,,,simple
wattle,zarzo,,,normal
wave,onda,,,simple
wedge,cuña,,,normal
wide,ancho,,,simple
win,ganar,,,simple
wooden bed,cama de madera,,,normal
wrong,mal,,,normal
yawn,bostezo,,,simple
shoehorn,calzador,,,normal
clew,escota,,,normal
cafe,café,,,normal
